0,dn,do,dl,dm,dj,dk,dh,di,df,dg,dd,de,db,dc,da,dv,dt,du,dr,ds,dp,dq,bd,be,bf,bg,ba,bb,bc,bl,bm,bn,bo,bh,bi,bj,bk,bt,bu,bv,bw,bp,bq,br,bs,bx,by,bz,ck,cj,ci,ch,co,cn,cm,cl,cc,cb,ca,cg,cf,ce,cd,cz,cy,cx,cs,cr,cq,cp,cw,cv,cu,ct,aa,ac,ab,ae,ad,ag,af,ai,ah,ak,aj,am,al,ao,an,aq,ap,as,ar,au,at,aw,av,ay,ax,az
dv,180,255,197,268,448,48,448,252,72,467,97,13,235,287,25,315,282,282,40,178,65,234,185,165,441,312,55,329,499,183,386,329,238,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dt,322,107,31,467,455,1,456,375,49,77,88,128,452,211,269,212,232,125,157,126,142,304,11,469,257,251,211,366,381,361,483,207,42,399,356,12,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du,405,475,175,236,222,372,352,237,92,294,12,178,154,33,48,394,227,64,467,158,220,348,77,392,423,246,355,362,496,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dr,126,464,412,317,85,99,284,297,204,407,339,129,15,304,165,445,117,274,99,484,322,377,446,227,273,225,310,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds,411,182,386,8,182,240,451,361,367,318,451,363,316,461,382,7,435,94,374,207,196,77,214,500,414,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dp,142,176,187,3,71,371,347,326,68,58,245,242,63,483,409,436,86,328,407,162,493,47,397,72,125,94,57,336,121,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dq,385,479,388,496,279,16,166,197,484,210,135,400,460,23,491,362,498,324,3,339,113,495,466,431,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd,11,314,12,22,113,327,33,31,487,211,447,108,218,179,88,164,494,374,191,205,132,266,368,344,231,21,461,204,195,1,69,435,257,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be,74,165,420,411,123,11,404,84,394,342,84,39,464,299,310,229,75,301,126,403,367,13,467,18,44,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf,75,118,178,368,202,135,246,196,155,451,275,489,387,285,131,344,228,361,202,248,10,370,17,341,291,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg,145,343,103,265,170,490,486,104,283,165,485,463,293,360,341,177,459,450,165,374,4,408,282,477,181,313,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba,279,143,271,100,148,221,302,268,130,116,59,392,49,367,124,142,368,330,371,258,430,61,323,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb,369,179,338,352,330,111,416,120,259,337,117,314,143,85,405,277,164,293,12,65,198,488,255,38,383,391,388,285,348,106,367,408,380,177,296,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc,451,54,417,263,179,228,6,110,327,331,247,477,240,157,424,129,302,352,411,393,192,29,19,363,481,171,221,363,329,130,336,152,178,270,366,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bl,202,153,29,62,67,240,321,382,23,412,21,278,372,316,475,172,293,41,280,407,101,130,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm,127,129,468,500,77,450,276,19,293,321,16,379,409,35,324,228,119,229,79,167,328,238,278,272,411,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn,407,40,214,176,226,417,256,494,431,59,158,11,367,9,443,96,207,31,155,195,26,384,356,179,418,38,27,177,451,378,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo,281,402,206,15,402,95,194,179,61,175,88,308,327,6,228,277,436,248,40,25,431,396,430,131,324,47,414,167,478,236,16,455,313,143,18,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bh,392,300,494,0,70,21,63,465,475,240,474,410,390,374,94,274,212,475,87,85,330,78,55,252,399,303,378,133,142,214,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bi,359,474,269,277,496,95,392,396,423,375,77,331,462,282,180,475,281,206,307,402,114,7,265,471,340,316,314,248,366,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj,446,137,473,464,39,224,372,225,254,404,353,479,82,462,464,318,471,126,441,387,305,45,15,5,125,381,193,388,313,195,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bk,19,233,415,63,355,164,12,237,261,20,283,174,2,95,55,270,21,464,423,473,157,453,493,383,137,336,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bt,84,103,114,263,410,178,441,368,358,167,59,482,428,204,432,450,171,251,166,348,456,493,372,152,441,497,173,475,256,483,498,407,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bu,77,2,298,352,468,259,349,324,102,322,491,55,344,307,188,397,5,447,409,240,54,226,292,127,243,388,462,281,414,39,429,461,84,414,425,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bv,259,304,104,354,202,10,67,194,443,283,459,465,43,294,167,253,228,240,51,417,245,323,236,90,271,79,426,416,71,34,34,197,477,278,133,115,55,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw,406,69,432,412,68,279,3,431,279,378,245,345,466,280,438,171,48,2,113,420,156,112,248,474,254,170,38,287,113,184,190,379,116,468,371,241,441,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bp,78,274,73,87,461,320,121,440,312,473,241,444,339,22,120,141,85,119,113,440,231,439,69,283,6,466,2,195,401,500,9,412,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bq,19,389,56,306,389,337,190,13,218,457,166,124,69,255,267,36,204,329,483,216,218,236,112,197,323,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
br,291,418,499,443,186,10,306,237,118,20,161,399,483,53,439,24,357,13,210,435,196,463,357,302,80,170,205,295,499,142,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bs,467,173,314,383,315,377,98,479,88,292,148,317,145,216,341,134,364,173,66,307,83,215,199,38,356,341,389,273,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bx,192,64,390,200,250,235,328,187,458,216,179,200,383,497,434,240,145,223,172,122,93,478,250,55,192,194,257,491,489,283,309,338,251,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by,157,342,46,158,446,113,484,493,288,20,46,100,163,56,399,182,117,21,191,2,58,302,468,99,371,99,0,449,423,33,88,117,465,191,404,218,191,383,308,134,291,352,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bz,339,321,298,46,473,358,136,346,311,330,189,287,330,101,254,60,52,456,62,447,235,227,170,208,188,283,168,411,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ck,138,206,172,198,363,447,79,121,105,22,427,256,33,223,225,389,381,67,314,255,6,74,334,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cj,149,434,398,371,361,395,424,31,84,253,106,267,247,63,43,5,413,40,481,492,373,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ci,413,452,481,7,377,263,62,123,141,202,235,469,29,355,427,179,124,110,150,72,276,125,13,116,411,209,442,472,121,280,441,291,84,124,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch,319,134,436,331,158,274,490,24,354,425,346,70,299,393,209,291,126,156,405,245,224,61,187,260,115,404,192,119,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co,463,310,357,169,69,490,329,137,489,305,165,448,39,402,79,53,129,358,304,211,79,462,383,343,407,387,56,387,420,374,241,343,50,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn,411,196,250,182,177,291,391,350,384,7,266,176,104,461,98,92,89,329,306,253,293,471,431,453,27,449,15,324,466,251,210,166,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm,171,217,228,325,26,365,485,229,34,100,51,128,397,0,437,470,92,86,483,180,406,4,496,8,304,465,416,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cl,482,251,344,66,240,367,417,100,198,237,220,238,148,405,457,174,319,190,289,348,251,337,379,422,94,108,257,255,404,259,450,389,253,413,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc,213,323,495,443,169,343,81,279,178,219,219,332,423,234,73,377,376,477,197,232,270,446,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb,195,394,401,481,444,341,260,362,91,462,357,297,217,317,309,450,285,106,221,121,453,422,278,98,21,67,222,337,112,342,431,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca,124,240,468,11,362,3,202,382,223,215,126,238,114,142,327,300,465,485,261,43,150,259,337,474,77,18,435,403,383,234,339,206,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg,174,134,487,174,500,426,108,414,492,138,332,385,41,410,154,353,476,17,306,146,57,356,490,256,173,224,207,266,204,40,490,499,87,120,218,350,15,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf,94,413,271,169,276,80,248,10,432,166,172,498,307,209,396,33,285,260,431,293,243,260,391,174,279,354,498,347,481,199,304,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce,139,420,109,192,253,170,412,132,44,77,314,282,31,497,240,160,365,12,217,332,482,381,443,59,215,15,136,192,172,187,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd,10,103,427,293,437,206,105,2,499,68,322,245,190,269,39,485,246,7,210,379,156,373,384,119,484,13,432,256,76,129,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz,63,355,271,76,17,308,258,288,208,234,196,43,268,60,337,375,84,100,120,299,203,444,274,263,109,45,463,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy,441,115,325,367,338,94,175,136,269,485,109,276,32,188,478,455,47,427,358,459,230,211,448,268,381,88,34,220,163,256,172,432,368,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cx,135,39,450,332,488,91,436,8,269,240,63,408,135,450,350,427,434,396,368,2,71,103,289,1,63,242,20,159,110,87,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs,201,408,372,453,233,172,389,18,192,489,171,256,125,38,55,218,310,273,259,55,20,179,472,90,134,242,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cr,470,57,166,370,161,72,289,31,186,127,166,243,268,42,158,192,202,240,213,37,109,322,415,256,74,35,78,192,283,332,262,283,176,333,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cq,478,493,27,419,440,72,471,63,103,478,416,288,144,126,201,4,318,25,387,35,5,142,387,417,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cp,131,393,318,255,268,37,20,7,388,69,61,192,489,443,156,410,42,196,290,494,24,206,460,13,300,200,280,352,203,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cw,450,427,241,110,338,363,498,395,45,495,428,291,165,367,298,47,282,10,395,412,365,45,294,196,64,446,472,462,266,433,99,148,455,295,113,65,114,248,152,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cv,355,44,248,105,195,256,177,203,366,21,479,302,81,279,40,251,345,210,157,337,468,437,193,432,57,29,492,382,308,279,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu,196,184,147,105,482,268,433,443,472,119,169,317,161,72,380,275,268,355,57,461,240,346,300,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct,474,0,324,118,327,372,444,342,424,393,80,21,370,263,499,82,193,144,440,242,457,354,500,300,489,86,221,289,490,284,433,314,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa,423,379,210,129,256,202,392,151,238,292,454,252,141,378,309,125,455,492,405,451,155,365,450,342,236,50,217,306,457,484,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac,302,294,222,298,192,288,145,94,93,306,328,238,45,379,439,462,422,449,462,270,196,353,138,406,425,448,295,475,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab,433,130,403,274,7,360,199,413,334,0,247,434,122,162,436,95,284,119,484,402,224,40,160,254,467,54,276,353,274,408,270,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,195,185,491,18,10,481,92,62,105,401,469,11,213,50,130,110,324,175,90,252,19,50,495,99,179,366,420,460,84,336,484,29,338,423,171,125,298,221,87,236,205,285,254,156,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad,225,330,499,459,397,41,307,243,315,423,121,366,58,110,398,166,408,50,73,349,22,287,455,267,340,13,318,303,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ag,129,79,264,244,281,378,442,247,156,233,405,438,407,94,500,317,41,363,494,201,339,158,106,359,1,412,264,48,59,325,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af,419,125,280,6,371,168,22,140,120,477,176,144,179,474,317,311,358,194,207,326,0,96,167,119,319,189,438,284,207,201,351,209,331,23,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai,474,470,455,21,375,351,328,356,452,320,186,269,104,294,4,75,167,395,359,169,310,20,82,491,145,197,274,146,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah,140,490,50,427,198,40,137,226,396,431,66,260,326,173,436,139,9,20,341,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ak,188,488,320,32,42,375,30,3,197,260,224,244,293,340,211,184,495,130,389,216,179,31,432,351,452,226,339,59,199,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj,120,24,89,262,35,201,164,207,49,455,237,421,489,172,240,350,213,151,368,448,460,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am,409,17,74,128,392,422,292,359,404,33,42,435,19,112,20,7,422,165,80,74,328,485,253,451,251,287,339,403,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
al,21,474,108,73,99,189,273,75,495,492,74,203,340,439,248,459,161,249,249,335,101,305,109,170,482,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ao,246,432,359,337,75,494,205,306,193,23,235,75,16,309,315,52,275,173,192,388,245,441,305,234,316,169,62,341,311,395,63,456,400,459,437,341,405,260,393,94,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an,496,374,453,103,268,299,413,241,396,194,293,426,399,329,0,91,253,127,32,430,472,151,204,405,31,321,63,143,415,27,18,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aq,367,15,223,343,15,460,482,361,39,35,179,14,174,4,488,410,35,447,104,102,337,470,61,3,184,12,303,430,93,56,172,480,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap,222,379,228,395,37,22,468,243,451,473,333,286,108,46,410,445,390,349,210,152,56,213,283,462,468,208,49,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,184,475,28,204,209,364,160,102,146,235,476,399,138,279,344,398,223,199,384,216,124,227,469,71,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar,484,181,237,146,469,480,318,92,497,51,291,78,449,473,402,158,121,378,145,210,23,66,10,39,36,210,275,371,71,211,319,42,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au,51,126,141,378,455,298,17,396,153,170,265,124,460,81,207,145,260,287,314,266,205,317,202,390,394,146,186,315,78,349,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,319,242,102,0,350,309,3,149,385,315,273,78,353,236,339,380,116,381,140,492,60,442,20,128,263,291,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aw,3,20,311,500,437,350,364,113,376,144,52,230,165,84,211,449,218,224,355,262,64,456,222,395,194,404,195,110,98,470,293,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
av,296,69,334,177,236,207,238,348,159,326,30,150,373,26,311,12,236,445,5,263,33,434,343,371,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ay,327,70,394,340,486,198,461,227,170,51,442,398,161,228,162,14,22,184,105,262,94,101,337,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ax,194,117,42,93,28,319,86,306,306,353,256,142,439,176,229,316,258,479,478,465,467,291,245,352,107,133,21,81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
az,156,430,127,172,356,22,468,36,230,363,23,405,490,230,59,40,49,383,207,460,220,38,213,378,415,19,90,245,64,436,468,160,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
